Source,Target,Type,Id,Label,timeset,Weight
23275,158315,Undirected,1,,,2
23275,315428,Undirected,2,,,2
23275,1351624,Undirected,3,,,2
23275,1937050,Undirected,4,,,2
23275,2527409,Undirected,5,,,2
23275,7725788,Undirected,6,,,2
23275,10394239,Undirected,7,,,2
23275,16705423,Undirected,8,,,2
23275,20467416,Undirected,9,,,2
23275,135187571,Undirected,10,,,2
23275,265768318,Undirected,11,,,2
23275,365736651,Undirected,12,,,2
23275,448070905,Undirected,13,,,2
36393,733547,Undirected,14,,,2
36393,2338570,Undirected,15,,,2
36393,2695518,Undirected,16,,,2
36393,2728193,Undirected,17,,,2
36393,3367240,Undirected,18,,,2
36393,4885997,Undirected,19,,,2
36393,5017376,Undirected,20,,,2
36393,5188319,Undirected,21,,,2
36393,6285008,Undirected,22,,,2
36393,7097127,Undirected,23,,,2
36393,7725788,Undirected,24,,,2
36393,8846308,Undirected,25,,,2
36393,10107481,Undirected,26,,,2
36393,10336147,Undirected,27,,,2
36393,10470583,Undirected,28,,,2
36393,12146610,Undirected,29,,,2
36393,15951270,Undirected,30,,,2
36393,17001324,Undirected,31,,,2
36393,17695649,Undirected,32,,,2
36393,19086307,Undirected,33,,,2
36393,20499014,Undirected,34,,,2
36393,29054140,Undirected,35,,,2
36393,31593605,Undirected,36,,,2
36393,39595444,Undirected,37,,,2
36393,46859990,Undirected,38,,,2
36393,49457625,Undirected,39,,,2
36393,54474365,Undirected,40,,,2
36393,58828580,Undirected,41,,,2
36393,65020330,Undirected,42,,,2
36393,67115385,Undirected,43,,,2
36393,79892799,Undirected,44,,,2
36393,81270009,Undirected,45,,,2
36393,81835614,Undirected,46,,,2
36393,94989154,Undirected,47,,,2
36393,95065218,Undirected,48,,,2
36393,98358711,Undirected,49,,,2
36393,117257470,Undirected,50,,,2
36393,128018796,Undirected,51,,,2
36393,151646553,Undirected,52,,,2
36393,168030320,Undirected,53,,,2
36393,194615423,Undirected,54,,,1
36393,198111102,Undirected,55,,,2
36393,244777887,Undirected,56,,,2
36393,327865477,Undirected,57,,,2
36393,335031647,Undirected,58,,,2
73963,632114,Undirected,59,,,2
73963,1125602,Undirected,60,,,2
73963,1470984,Undirected,61,,,2
73963,1625422,Undirected,62,,,2
73963,1880033,Undirected,63,,,2
73963,3404775,Undirected,64,,,2
73963,5350587,Undirected,65,,,2
73963,6567645,Undirected,66,,,2
73963,6802388,Undirected,67,,,2
73963,10342782,Undirected,68,,,2
73963,15160342,Undirected,69,,,2
73963,16705423,Undirected,70,,,2
73963,17428995,Undirected,71,,,2
73963,20467416,Undirected,72,,,2
73963,164801996,Undirected,73,,,2
73963,193859015,Undirected,75,,,2
73963,232142246,Undirected,76,,,2
73963,250837133,Undirected,77,,,2
73963,255302701,Undirected,78,,,2
73963,275233875,Undirected,79,,,2
73963,281431933,Undirected,80,,,2
77215,7725788,Undirected,81,,,2
77215,9462731,Undirected,82,,,2
146931,2493497,Undirected,83,,,2
146931,19086307,Undirected,84,,,2
146931,20756088,Undirected,85,,,2
146931,29054140,Undirected,86,,,2
146931,128018796,Undirected,87,,,2
158315,7264348,Undirected,89,,,2
158315,7711425,Undirected,90,,,2
158315,16705423,Undirected,91,,,2
158315,151866443,Undirected,92,,,2
158315,265768318,Undirected,93,,,2
158315,365736651,Undirected,94,,,2
158315,370397803,Undirected,95,,,2
158315,440017031,Undirected,96,,,2
228681,17428995,Undirected,97,,,2
228681,20467416,Undirected,98,,,2
235801,2753949,Undirected,99,,,2
235801,10457951,Undirected,102,,,2
235801,11883754,Undirected,103,,,2
235801,20503492,Undirected,104,,,2
235801,22833762,Undirected,105,,,1
235801,28767534,Undirected,106,,,2
315428,460055,Undirected,108,,,2
315428,478427,Undirected,110,,,2
315428,607135,Undirected,111,,,2
315428,1039515,Undirected,112,,,2
315428,1060215,Undirected,113,,,2
315428,1722649,Undirected,114,,,2
315428,1937050,Undirected,115,,,2
315428,2527409,Undirected,116,,,2
315428,3108455,Undirected,117,,,2
315428,4885997,Undirected,118,,,2
315428,5168202,Undirected,119,,,2
315428,5809734,Undirected,120,,,2
315428,7097127,Undirected,121,,,2
315428,7711425,Undirected,122,,,2
315428,7725788,Undirected,123,,,2
315428,9462731,Undirected,124,,,2
315428,10046465,Undirected,125,,,2
315428,10394239,Undirected,126,,,2
315428,11517708,Undirected,127,,,2
315428,12952420,Undirected,128,,,2
315428,13543491,Undirected,129,,,2
315428,14186571,Undirected,130,,,2
315428,14323754,Undirected,131,,,2
315428,16705423,Undirected,132,,,2
315428,30825935,Undirected,133,,,2
315428,76593699,Undirected,134,,,2
315428,164801996,Undirected,135,,,2
315428,265768318,Undirected,136,,,2
315428,370397803,Undirected,137,,,2
315428,448070905,Undirected,138,,,2
358014,1729080,Undirected,139,,,2
358014,8412411,Undirected,140,,,2
358014,10049592,Undirected,141,,,2
358014,11503823,Undirected,143,,,2
358014,11758244,Undirected,144,,,2
358014,12427925,Undirected,145,,,2
358014,17656022,Undirected,146,,,2
358014,20113344,Undirected,147,,,2
358014,23322854,Undirected,149,,,2
358014,23710199,Undirected,150,,,2
358014,51109331,Undirected,151,,,2
358014,64564860,Undirected,152,,,2
358014,68133801,Undirected,153,,,2
358014,102172705,Undirected,154,,,2
358014,122433384,Undirected,155,,,2
358014,195113546,Undirected,156,,,2
358014,265768318,Undirected,157,,,2
358014,267855048,Undirected,158,,,1
460055,478427,Undirected,160,,,2
460055,744513,Undirected,161,,,1
460055,914519,Undirected,162,,,2
460055,1039515,Undirected,163,,,2
460055,1280294,Undirected,164,,,2
460055,1376911,Undirected,165,,,2
460055,1629867,Undirected,166,,,2
460055,1729080,Undirected,167,,,2
460055,1937050,Undirected,168,,,2
460055,2527409,Undirected,169,,,2
460055,4898557,Undirected,170,,,2
460055,6643828,Undirected,171,,,2
460055,7097127,Undirected,172,,,2
460055,7264348,Undirected,173,,,2
460055,7429309,Undirected,174,,,2
460055,7711425,Undirected,175,,,2
460055,7725788,Undirected,176,,,2
460055,9035501,Undirected,177,,,2
460055,10025943,Undirected,178,,,2
460055,10394239,Undirected,179,,,2
460055,11517708,Undirected,180,,,2
460055,11537523,Undirected,181,,,2
460055,13167984,Undirected,182,,,2
460055,14186571,Undirected,183,,,2
460055,14453855,Undirected,184,,,2
460055,15216946,Undirected,185,,,2
460055,15967756,Undirected,186,,,2
460055,17129157,Undirected,187,,,2
460055,17283336,Undirected,188,,,2
460055,17656022,Undirected,189,,,2
460055,19086307,Undirected,190,,,2
460055,19487814,Undirected,191,,,2
460055,20113344,Undirected,192,,,2
460055,20562012,Undirected,193,,,2
460055,20756088,Undirected,194,,,2
460055,28605019,Undirected,195,,,2
460055,32207779,Undirected,196,,,2
460055,32703581,Undirected,197,,,2
460055,52344165,Undirected,198,,,2
460055,58828580,Undirected,199,,,2
460055,81295831,Undirected,200,,,2
460055,95065218,Undirected,201,,,2
460055,99988669,Undirected,202,,,2
460055,104374278,Undirected,203,,,2
460055,128018796,Undirected,204,,,2
460055,135187571,Undirected,205,,,2
460055,137526262,Undirected,206,,,2
460055,151646553,Undirected,207,,,2
460055,164801996,Undirected,208,,,2
460055,214628133,Undirected,209,,,2
460055,258387065,Undirected,210,,,2
460055,267311705,Undirected,211,,,2
460055,307762440,Undirected,212,,,2
478427,744513,Undirected,216,,,1
478427,1039515,Undirected,217,,,2
478427,1376911,Undirected,218,,,2
478427,1625422,Undirected,219,,,2
478427,1629867,Undirected,220,,,2
478427,1687066,Undirected,221,,,2
478427,1722649,Undirected,222,,,2
478427,1729080,Undirected,223,,,2
478427,1867413,Undirected,224,,,2
478427,1937050,Undirected,225,,,2
478427,2362779,Undirected,226,,,2
478427,2527409,Undirected,227,,,2
478427,2722854,Undirected,228,,,2
478427,2728193,Undirected,229,,,2
478427,3367240,Undirected,230,,,2
478427,4110765,Undirected,231,,,2
478427,4727260,Undirected,232,,,2
478427,5017376,Undirected,233,,,2
478427,6643828,Undirected,234,,,2
478427,7041843,Undirected,235,,,1
478427,7097127,Undirected,236,,,2
478427,7640927,Undirected,237,,,2
478427,10049592,Undirected,239,,,2
478427,10394239,Undirected,240,,,2
478427,10755507,Undirected,241,,,2
478427,11517708,Undirected,242,,,2
478427,11537523,Undirected,243,,,2
478427,11905863,Undirected,244,,,1
478427,12952420,Undirected,245,,,2
478427,14186571,Undirected,246,,,2
478427,14453855,Undirected,247,,,2
478427,14659482,Undirected,248,,,2
478427,15216946,Undirected,249,,,2
478427,17283336,Undirected,250,,,2
478427,17436555,Undirected,251,,,2
478427,17656022,Undirected,252,,,2
478427,20113344,Undirected,253,,,2
478427,20647409,Undirected,254,,,2
478427,23394348,Undirected,255,,,2
478427,24435056,Undirected,256,,,2
478427,26437207,Undirected,257,,,2
478427,32207779,Undirected,258,,,2
478427,52344165,Undirected,259,,,2
478427,56706535,Undirected,260,,,2
478427,58828580,Undirected,261,,,2
478427,64564860,Undirected,262,,,2
478427,68229314,Undirected,263,,,2
478427,74738266,Undirected,264,,,1
478427,91596926,Undirected,265,,,2
478427,102172705,Undirected,267,,,2
478427,133385779,Undirected,268,,,2
478427,164801996,Undirected,269,,,2
478427,195178325,Undirected,270,,,2
478427,234276068,Undirected,271,,,1
478427,247411462,Undirected,272,,,2
607135,1039515,Undirected,275,,,2
607135,1060215,Undirected,276,,,2
607135,1625422,Undirected,277,,,2
607135,1687066,Undirected,278,,,2
607135,1867413,Undirected,279,,,2
607135,2362779,Undirected,280,,,2
607135,2527409,Undirected,281,,,2
607135,4885997,Undirected,282,,,2
607135,4898557,Undirected,283,,,2
607135,5168202,Undirected,284,,,2
607135,5188319,Undirected,285,,,2
607135,6149559,Undirected,286,,,2
607135,6643828,Undirected,287,,,2
607135,7041843,Undirected,288,,,1
607135,7725788,Undirected,289,,,2
607135,11482127,Undirected,290,,,2
607135,11517708,Undirected,291,,,2
607135,12952420,Undirected,292,,,2
607135,14186571,Undirected,293,,,2
607135,14453855,Undirected,294,,,2
607135,19029823,Undirected,295,,,2
607135,19105152,Undirected,296,,,2
607135,19467006,Undirected,297,,,2
607135,23268563,Undirected,298,,,2
607135,26437207,Undirected,299,,,2
607135,28529872,Undirected,300,,,2
607135,29054140,Undirected,301,,,2
607135,54474365,Undirected,302,,,2
607135,92030000,Undirected,304,,,2
607135,137964272,Undirected,306,,,2
607135,156310993,Undirected,307,,,2
607135,160240202,Undirected,308,,,2
607135,164801996,Undirected,309,,,2
607135,236582831,Undirected,310,,,2
607135,257097936,Undirected,311,,,1
632114,1470984,Undirected,313,,,2
632114,1880033,Undirected,314,,,2
632114,6567645,Undirected,315,,,2
632114,10342782,Undirected,316,,,2
632114,15160342,Undirected,317,,,2
640287,1420000,Undirected,318,,,2
640287,1687066,Undirected,319,,,2
640287,1831185,Undirected,320,,,2
640287,1895348,Undirected,321,,,2
640287,2362779,Undirected,322,,,2
640287,2722854,Undirected,323,,,2
640287,4873323,Undirected,324,,,2
640287,5017376,Undirected,325,,,2
640287,6285008,Undirected,326,,,2
640287,7097127,Undirected,327,,,2
640287,7640927,Undirected,328,,,2
640287,9484132,Undirected,329,,,2
640287,10755507,Undirected,330,,,2
640287,14659482,Undirected,331,,,2
640287,17283336,Undirected,332,,,2
640287,17436555,Undirected,333,,,2
640287,20113344,Undirected,334,,,2
640287,26476793,Undirected,335,,,2
640287,48038134,Undirected,336,,,2
640287,51402325,Undirected,337,,,2
640287,56706535,Undirected,338,,,2
640287,64971391,Undirected,339,,,2
640287,71079139,Undirected,340,,,2
640287,92283380,Undirected,341,,,2
640287,102172705,Undirected,342,,,2
640287,128018796,Undirected,343,,,2
640287,156310993,Undirected,344,,,2
640287,247411462,Undirected,345,,,2
640287,419004306,Undirected,346,,,2
733547,4885997,Undirected,348,,,2
733547,7725788,Undirected,349,,,2
733547,9462731,Undirected,350,,,2
733547,265768318,Undirected,351,,,2
914519,1280294,Undirected,353,,,2
914519,1376911,Undirected,354,,,2
914519,1638025,Undirected,355,,,2
914519,2527409,Undirected,356,,,2
914519,4110765,Undirected,357,,,2
914519,4727260,Undirected,358,,,2
914519,5168202,Undirected,359,,,2
914519,5206504,Undirected,360,,,2
914519,5905533,Undirected,361,,,2
914519,7429309,Undirected,362,,,2
914519,7725788,Undirected,363,,,2
914519,9035501,Undirected,364,,,2
914519,10336147,Undirected,365,,,2
914519,11537523,Undirected,366,,,2
914519,12345730,Undirected,367,,,2
914519,14186571,Undirected,368,,,2
914519,15216946,Undirected,369,,,2
914519,16909418,Undirected,370,,,2
914519,17283336,Undirected,371,,,2
914519,19086307,Undirected,372,,,2
914519,19467006,Undirected,373,,,2
914519,20113344,Undirected,374,,,2
914519,27835117,Undirected,375,,,2
914519,28605019,Undirected,376,,,2
914519,52344165,Undirected,377,,,2
914519,54474365,Undirected,378,,,2
914519,135187571,Undirected,379,,,2
914519,152055761,Undirected,380,,,2
914519,164801996,Undirected,381,,,2
1039515,1060215,Undirected,387,,,2
1039515,1376911,Undirected,388,,,2
1039515,1629867,Undirected,389,,,2
1039515,1867413,Undirected,390,,,2
1039515,1937050,Undirected,391,,,2
1039515,2527409,Undirected,392,,,2
1039515,4748106,Undirected,393,,,2
1039515,4885997,Undirected,394,,,2
1039515,4898557,Undirected,395,,,2
1039515,5905533,Undirected,396,,,2
1039515,7097127,Undirected,397,,,2
1039515,7725788,Undirected,398,,,2
1039515,9462731,Undirected,399,,,2
1039515,10021028,Undirected,400,,,1
1039515,10046465,Undirected,401,,,2
1039515,10394239,Undirected,402,,,2
1039515,11517708,Undirected,403,,,2
1039515,12952420,Undirected,404,,,2
1039515,14186571,Undirected,405,,,2
1039515,19105152,Undirected,406,,,2
1039515,20647409,Undirected,407,,,2
1039515,30825935,Undirected,408,,,2
1039515,128018796,Undirected,409,,,2
1039515,135187571,Undirected,410,,,2
1039515,137964272,Undirected,411,,,2
1039515,164801996,Undirected,412,,,2
1039515,437162799,Undirected,413,,,2
1060215,1687066,Undirected,418,,,2
1060215,2362779,Undirected,419,,,2
1060215,2527409,Undirected,420,,,2
1060215,3108455,Undirected,421,,,2
1060215,4748106,Undirected,422,,,2
1060215,4885997,Undirected,423,,,2
1060215,4898557,Undirected,424,,,2
1060215,5168202,Undirected,425,,,2
1060215,7711425,Undirected,426,,,2
1060215,7725788,Undirected,427,,,2
1060215,8916465,Undirected,428,,,2
1060215,9462731,Undirected,429,,,2
1060215,10394239,Undirected,430,,,2
1060215,11517708,Undirected,431,,,2
1060215,12952420,Undirected,432,,,2
1060215,13543491,Undirected,433,,,2
1060215,14186571,Undirected,434,,,2
1060215,14453855,Undirected,435,,,2
1060215,19467006,Undirected,436,,,2
1060215,21546631,Undirected,437,,,2
1060215,23268563,Undirected,438,,,2
1060215,54474365,Undirected,439,,,2
1060215,76593699,Undirected,441,,,2
1060215,257097936,Undirected,442,,,1
1060215,282293836,Undirected,443,,,1
1060215,370397803,Undirected,444,,,2
1125602,1420000,Undirected,446,,,2
1125602,3260830,Undirected,447,,,2
1125602,3880497,Undirected,448,,,2
1125602,8091161,Undirected,449,,,2
1125602,8471820,Undirected,450,,,2
1125602,8675442,Undirected,451,,,2
1125602,11522638,Undirected,452,,,2
1125602,14231328,Undirected,453,,,2
1125602,37774029,Undirected,454,,,2
1125602,51415668,Undirected,455,,,2
1125602,52655756,Undirected,456,,,2
1125602,83983023,Undirected,457,,,2
1125602,93258630,Undirected,458,,,2
1125602,152055761,Undirected,459,,,2
1125602,182616864,Undirected,460,,,2
1125602,183823715,Undirected,461,,,2
1125602,251216993,Undirected,462,,,2
1125602,258387065,Undirected,463,,,2
1125602,385495145,Undirected,464,,,2
1178222,2265562,Undirected,465,,,1
1178222,2753949,Undirected,466,,,2
1178222,3615273,Undirected,467,,,2
1178222,3854932,Undirected,468,,,2
1178222,11198091,Undirected,469,,,2
1178222,152501643,Undirected,470,,,2
1280294,1638025,Undirected,473,,,2
1280294,4110765,Undirected,474,,,2
1280294,4885997,Undirected,475,,,2
1280294,5905533,Undirected,476,,,2
1280294,7429309,Undirected,477,,,2
1280294,9558912,Undirected,478,,,2
1280294,10243881,Undirected,479,,,2
1280294,11537523,Undirected,480,,,2
1280294,12345730,Undirected,481,,,2
1280294,14186571,Undirected,482,,,2
1280294,19086307,Undirected,483,,,2
1280294,81295831,Undirected,484,,,2
1280294,128018796,Undirected,485,,,2
1280294,137526262,Undirected,486,,,2
1280294,164801996,Undirected,487,,,2
1280294,214628133,Undirected,488,,,2
1351624,16705423,Undirected,490,,,2
1351624,20467416,Undirected,491,,,2
1376911,1625422,Undirected,497,,,2
1376911,1629867,Undirected,498,,,2
1376911,1867413,Undirected,499,,,2
1376911,1937050,Undirected,500,,,2
1376911,2186813,Undirected,501,,,2
1376911,2327658,Undirected,502,,,1
1376911,2527409,Undirected,503,,,2
1376911,4748106,Undirected,504,,,2
1376911,5188319,Undirected,505,,,2
1376911,5206504,Undirected,506,,,2
1376911,7429309,Undirected,507,,,2
1376911,8910036,Undirected,509,,,2
1376911,9035501,Undirected,510,,,2
1376911,10787238,Undirected,511,,,2
1376911,11905863,Undirected,512,,,1
1376911,12146610,Undirected,513,,,2
1376911,12345730,Undirected,514,,,2
1376911,12952420,Undirected,516,,,2
1376911,17129157,Undirected,517,,,2
1376911,18027657,Undirected,518,,,2
1376911,19029823,Undirected,519,,,2
1376911,19086307,Undirected,520,,,2
1376911,21887427,Undirected,521,,,2
1376911,28529872,Undirected,522,,,2
1376911,28605019,Undirected,523,,,2
1376911,29054140,Undirected,524,,,2
1376911,31136873,Undirected,525,,,2
1376911,31593605,Undirected,526,,,2
1376911,32207779,Undirected,527,,,2
1376911,68229314,Undirected,528,,,2
1376911,74738266,Undirected,529,,,1
1376911,79892799,Undirected,531,,,2
1376911,81295831,Undirected,532,,,2
1376911,92030000,Undirected,533,,,2
1376911,102622455,Undirected,534,,,2
1376911,128018796,Undirected,535,,,2
1376911,153336245,Undirected,537,,,2
1376911,156310993,Undirected,538,,,2
1376911,164801996,Undirected,539,,,2
1376911,214628133,Undirected,540,,,2
1376911,248058597,Undirected,541,,,2
1376911,267311705,Undirected,542,,,2
1420000,1729080,Undirected,545,,,2
